DOI,Title,Author,OpenAlex ID,Abstract,Article References,Times Cited,Publication Year,Publisher,Keywords,Affiliations,Country,Document Type,Language,Open Access,Funding,Concepts,Journal,Location,Address,Volume,Issue,Pages,ISSN,Source File
10.22456/2175-2745.110830,A Conceptual Model for Situating Purposes in Artificial Institutions,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.110837,Integrating Embedded Multiagent Systems with Urban Simulation Tools and IoT Applications,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.111817,Towards Causal Effect Estimation of Emotional Labeling of Watched Videos,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.111993,Ab Initio Protein Structure Prediction Using Evolutionary Approach: A Survey,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.112006,The Notification Oriented Paradigm Language to Digital Hardware as an Intuitive High-level Synthesis Tool,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.11221,Identificação da Autoria de Manuscritos com Base em Atributos Genéticos e Genéricos da Escrita,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.112813,A Review of Testbeds on SCADA Systems with Malware Analysis,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.11296,Ambiente Virtual Interativo com Colisão e Deformação de Objetos para Treinamento Médico,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.11384,QOC*: utilizando Design Rationale como ferramenta para gerenciar conhecimento em projetos de software,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.11467,Uso da ferramenta PreText para mineração de textos extraídos do NCBI para estudo epistemológico da Informática em Saúde,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.11468,ALUPAS: Avaliação de desempenho e consumo de energia de softwares para sistemas embarcados,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.11469,Avaliação Pró-ativa da Deterioração de Sistemas de Informação por meio de Medidas de Gestão,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.11471,High Performance Computing: CUDA as a Supporting Technology for Next Generation Augmented Reality Applications,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.11473,"Efeitos Visuais, uma Abordagem a Partir do Processamento Digital de Imagens",,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.11477,Tutorial: Introdução à Visão Computacional usando OpenCV,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.116017,Evaluating the Causal Effect of Multimedia and Affective Temperament in Felt Emotion and Liking,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.11607,Análise do Controle Motor com Interações usando Dispositivos Convencionais e Realidade Aumentada,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.11631,Variation Detection applied in User Signature Verification,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.116606,Contributions on Computer Music from the SBCM 2019,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.11662,Aprendizado e Controle de Robôs Móveis Autônomos Utilizando Atenção Visual,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.11695,Estratégias de Atualização de Políticas para a Coordenação de Agentes Baseados em Enxames,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.117481,Exploring Supervised Techniques for Automated Recognition of Intention Classes from Portuguese Free Texts on Agriculture,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.118372,Building Contrastive Summaries of Subjective Text Via Opinion Ranking,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.119164,SSM: A Semantic Metasearch Platform for Scientific Data retrieval,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.119196,Stochastic Models for Planning VLE Moodle Environments based on Containers and Virtual Machines,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.119207,Efficient Breast Cancer Classification Using Histopathological Images and a Simple VGG,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.120399,Application of Profile Prediction for Proactive Scheduling,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.12104,Estimação de Probabilidade de Perda de Dados em Redes Através de Modelagem Multifractal de Tráfego e Teoria de Muitas Fontes,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.12119,Desenvolvimento e Avaliação de um Protocolo Eletrônico para Atendimento e Monitoramento do Paciente com Doença Celíaca,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.121388,Optimal Control and Adaptive Learning for Stabilization of a Quadrotor-type Unmanned Aerial Vehicle via Approximate Dynamic Programming,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.121425,SEGBEE: Mobile Application for Honey Segmentation in Apiary Boards,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.122929,"Multi-Objective, Multi-Armed Bandits: Algorithms for Repeated Games and Application to Route Choice",,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.12327,Snake-3D na Modelagem Tridimensional e Medição do Comprimento de Arcos Elétricos,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.12361,Editorial: 20 anos da Revista de Informática Teórica e Aplicada,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.12362,Prefácio à Seção Especial dos Tutoriais do SIBGRAPI'08,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.124564,Neural Classification of Rotor Faults in Three-Phase Induction Motors using Electric Current Signals in the Frequency Domain,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.12509,Quantools: A MDA transformation approach,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.125288,Optimization Inspired by the Organization of Interiors Applied to Cluster Analysis,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.125396,Comparative Analysis of Blockchain-Based Platforms for Managing Electronic Health Records in the Public Healthcare System of Brazil,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.125567,Performance Assessment of a Wireless Mesh Network for Post-harvest Food Quality Traceability of Fruit Products: A Case Study,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.12569,HiME: Hierarchical i* Modeling Editor,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.12570,An Ontology-Based Framework for Heterogeneous Data Sources Integration,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.12571,A Temporal-Rule Based Verification System for Business Collaboration Reliability,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.12572,Semantic Web and Knowledge Management in User Data Privacy,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.12573,MatchMaking – A Tool to Match OWL Schemas,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.12576,Web Information Extraction by Semantic Tagging,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.12577,SAMSTARplus: An Automatic Tool for Generating Multi- Dimensional Schemas from an Entity-Relationship Diagram,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.12578,An Approach for Reducing the Gap between BPMN Models and Implementation Artifacts,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.12579,A Frame-Based System for Automatic Classification of Semi- Structured Data,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.12580,Dealing with Uncertainty in Lexical Annotation,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.12581,Towards Generating Richer Code by Binding Security Abstractions to BPMN Task Types,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.12582,An Eclipse-based Tool for Model Driven Web Applications with Personalization Support,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.125825,Chatbot Optimization using Sentiment Analysis and Timeline Navigation,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.12583,Conceptual Modeling: the Linguistic Approach,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.12584,UMLtoSBVR: An SBVR-based tool to validate UML conceptual schemas,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.12585,The Animated Database Courseware (ADbC) and the Database Design Module,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.12586,Aumento de Resolução Temporal de Sequências de Imagens do Trato Vocal por meio de Registro das Imagens,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.12587,Eliminação de Ruído Impulsivo Usando um Filtro Mediano Seletivo e Difusão Isotrópica,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.12588,HSM: A New Color Space used in the Processing of Color Images,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.12590,An Approach Based on Maintainability Criteria for Building Aspect-Oriented Software Design Model,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.126016,COVID-19 Detection Using Forced Cough Sounds and Medical Information,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.126309,Autism Spectrum Disorder Diagnosis Assistance using Machine Learning,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.12631,Editorial,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.12643,Avaliação do Desempenho da Utilização de Threads em user level em Linux,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.126544,Provision and Collection of Safety Evidence: A Systematic Literature Review,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.12669,Modelo Estatístico para a Determinação do Número Ótimo de Iterações  do Filtro de Difusão Anisotrópica Aplicado à Redução de Ruído de  Imagens de Ressonância Magnética do Cérebro,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.127207,Livestock Monitoring Prototype Implementation and Validation,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.128836,Catboost Algorithm Application in Legal Texts and UN 2030 Agenda,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.12923,Inteligência Swarm e Equilíbrio de Verhulst Aplicados à Alocação de Potência em Redes Ópticas CDMA Particionadas,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.12943,Integração de evidências em redes credais e a regra de Jeffrey,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.129783,The Use of Technology in the Diagnosis and Treatment of Epilepsy: Trends and Open Issues,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.129787,"Road Pavement Damage Detection using Computer Vision Techniques: Approaches, Challenges and Opportunities",,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.129990,Evaluation of the Relationship Between the Age of the Patient and the Mandibular Trabecular Bone Structure Through Dental Cone Beam Tomographic Images by Means of a Convolutional Neural Network,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.130465,Predictive Maintenance based on Log Analysis: A Systematic Review,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.130579,Automated Lung Region Segmentation in Pediatric Chest Radiography,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.130630,Power Allocation in Orthogonal Frequency Division Multiplexing-based Wireless Networks Using Reinforcement Learning,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.130645,Image Classification Using Convolutional Neural Networks for Automatic Correction of Multiprova Answer Sheets,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.130662,Use of wearable chemical sensors in IoT: a systematic literature review,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.130669,Machine Learning Algorithms for Peripheral Blood Cell Classification - A Hemovision Project Experience,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.133375,Predicting Startup Success Using Tree-Based Machine Learning Algorithms,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.133785,Machine learning in medicine using JavaScript: building web apps using TensorFlow.js for interpreting biomedical datasets,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.134925,A Random Generation of Haskell Programs Applied to Optimization Testing in Compilers,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.135436,"Detection and Pose Adjustment in Physical Exercises using Computer Vision Techniques: Approaches, Challenges and Opportunities",,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.135781,Performance Evaluation and Operational Availability of a Textile Manufacturing 4.0 Using Stochastic Petri Nets,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.136072,Prediction of Stock Prices Using Ensemble Models,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.136309,Framework for Security Risk Assessment (FSRA) and Fuzzy Risk Inference System (FRIS) based on Standard ISO/IEC 27002:2022,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.136568,Energy Consumption and Performance Evaluation of Multi-Model NoSQL DBMSs,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.137324,Modeling and Analysis of a Telesurgery Environment Considering a 5G Network,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.13764,Tutorial sobre Fuzzy-c-Means e Fuzzy Learning Vector Quantization: Abordagens Híbridas para Tarefas de Agrupamento e Classificação,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.139289,Rough Sets and Multilayer Perceptron in Tandem for Processing the Aleatory Uncertainty in COVID-19 Cases,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.139523,Comparative Study of Predictive Models Based on Moving Averages Applied in Binary Options in the Financial Market,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.139902,UnbIAs - Google Translate Gender Bias Mitigation and Addition of Genderless Translation,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.140067,Supervised Learning Algorithms Evaluation on Sweet Potato Data for Production Indices Considering Human Consumption,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.140149,Analysis of Forensic Tools for Recovery of Formatted Data: a case study with Microsoft Word files,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.140214,Systematic Literature Review on the Application of Controllers Based on Cellular Automata in Robotic Tasks,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.140570,Ontology for Healthcare AI Privacy in Brazil,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.140750,A Parameterized Model for Multimedia-Content Placement of the Streaming Service on 5G Cellular Networks,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.141585,Machine Learning Applied to Biological Sequence Comparison: an Alignment-free Approach,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.141618,Symmetric Peer-to-Peer Applications,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.142111,A Bibliometric Study on the Applications of Neural Networks in Metal Surface Defect Inspection,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.142129,On the Use of  Spectral Data from Smartphone Accelerometer Signals and  Constituent Material for the Identification of Damaged Walls,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.142648,Comparison of AI Models for Data Extraction in Glucometers,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.142954,"Optimizing Mikrotik-Based Network Security using Address List, Firewall Filter Rules, and Raw Firewall",,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.143066,Composite Material Defect Segmentation Using Deep Learning Models and Infrared Thermography,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.143123,A Speech Emotion Recognition Approach Using Discrete Wavelet Transform and Deep Learning Techniques in a Brazilian Portuguese Corpus,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.143318,Deep Semantic Segmentation Applied to Honey Bee Comb Cells,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.143329,Deep Learning-Based Instance Segmentation for Enhanced Navigation of Agricultural Vehicles,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.143357,Transfer Learning and Handcrafted Features Ensembles for Ultrasound Breast Cancer Image Classification,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.143392,A New Approach for Soil Carbon and Nitrogen Assessment through Image Analysis: A Case Study with Oxisols and Inceptisols,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.143437,A Mini-map Alignment Approach using Landmark Observation Information Intrinsic to the Feature-based Visual SLAM Pipeline,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.143443,Case Study of Deep Learning Methods for Depth Estimation in Indoor Ground Robotics,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.143458,Rust Detection in Coffee Leaves Using Otsu's Method and Mathematical Morphology,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.143463,Identifying Malignant Skin Diseases Through Deep Learning,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.143478,Medical Image Classification with Privacy: Centralized and Federated Learning Comparison,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.143480,Federated Learning in Breast Cancer Diagnosis,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.143486,Digital Fencing for Farms: Enhancing Object Detection through Multi-Dataset Integration,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.143487,Automatic Identification of Relevant Moments in Security Force Videos Using Multimodal Analysis,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.143490,Evaluating Deep Learning Models for Effective Weed Classification in Agricultural Images,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.143494,Aedes aegypti Egg Counting with Neural Networks for Object Detection,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.143495,Castor Beans Identification in Sugarcane Plantations Using Active Learning,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.143502,Analyzing Bee Behavior Through Video Tracking Using Computer Vision Techniques,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.143508,Data Augmentation and Convolutional Network Architecture Influence on Distributed Learning,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.143513,Portal to Other Dimensions: use of Computer Vision to create art work from day life images,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.143514,Construction of Rolled Digital for Newborns Using Image Registration,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.143516,Deep Learning-Based Segmentation of Nanomaterial Images Acquired via Scanning Electron Microscopy,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.143520,Classification of Agricultural Pests Through Digital Images Using Deep Learning,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.143521,Exploiting Data Augmentation Strategies to Improve the Classification of Spinal Disorders in X-Ray Images,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.143522,Automatic Detection and Counting of Tuta Absoluta Insect in Trap Images,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
