DOI,Title
10.22456/2175-2745.25202,From UML to SIMULINK CAAM: Formal Specification and Transformation Analysis
10.22456/2175-2745.25210,A Graph Grammar to Transform a Dataflow Graph into a Multithread Graph and its Application in Task Scheduling
10.22456/2175-2745.25515,Métodos Computacionais e Estatísticos no Estudo das Ondas de Frequência dos Sinais Eletroencefalográficos e o Envelhecimento: uma Abordagem Através da Análise Linear do Discriminante
10.22456/2175-2745.25646,Seleção Automática de Casos de Teste de Regressão Baseada em Similaridade e Valores
10.22456/2175-2745.25720,Generating Integration Test Orders for Aspect Oriented Software with Multi-objective Algorithms
10.22456/2175-2745.25803,"Compilação Just-In-Time: Histórico, Arquitetura, Princípios e Sistemas"
10.22456/2175-2745.25876,Aplicação de Modelos Intencionais e Sistemas Multiagentes para Estabelecer Políticas de Monitoração de Transparência de Software
10.22456/2175-2745.25948,Um Sistema para Inspeções de Garantia da Qualidade Baseado em Ontologias e Agentes
10.22456/2175-2745.25965,Avaliação de Desempenho da Política EBS para Escalonamento em Aplicações com Restrições de Máximo Tempo Médio de Resposta
10.22456/2175-2745.26055,Uma introdução ao tema Recuperação de Informações Textuais
10.22456/2175-2745.26211,Intrusion Detection in Unstructured Contexts Using On-line Clustering and Novelty Detection
10.22456/2175-2745.26274,PColorAnt3-RT: Um Algoritmo ACO Paralelo para Coloração de Grafos
10.22456/2175-2745.26296,Decision making for a delivery robot through a fuzzy system
10.22456/2175-2745.26421,"Serviços em Redes Futuras: Objetivos, Tecnologias e Comparação de Iniciativas"
10.22456/2175-2745.26629,Um Sistema de Realização Superficial para Geração de Textos em Português
10.22456/2175-2745.26905,Deterministic and efficient minimal perfect hashing schemes
10.22456/2175-2745.27556,Uma Abordagem para Jogos Bayesianos Fuzzy com base na  Probabilidade Fuzzy de Buckley
10.22456/2175-2745.28371,Uma Avaliação do Esquema de Gerenciamento de Chave Baseado em Identidade Identity Key Management
10.22456/2175-2745.29997,Simulação do Espalhamento da Influenza na Cidade de Cascavel-PR Utilizando Agentes Computacionais
10.22456/2175-2745.30242,Independent learners in abstract traffic scenarios
10.22456/2175-2745.30317,Aplicando Conceitos de Sistemas Multiagentes na Elaboração de um Jogo de Estratégia Simulado
10.22456/2175-2745.30492,Extending the RoboCup Rescue to Support Stigmergy: Experiments and Results
10.22456/2175-2745.31690,On the Influence of  Latent Semantic Analysis Parameterization for  Bug Localization
10.22456/2175-2745.33065,Modelagem de Tráfego VoIP Utilizando Misturas Gaussianas Ajustadas por Algoritmo de Maximização de Esperança e Comprimento de Descrição Mínimo
10.22456/2175-2745.36371,Aplicação de Modelos de Aprendizado Semissupervisionado na Classificação de Imagens de Sensoriamento Remoto
10.22456/2175-2745.36756,"Prolog: A Linguagem, A Máquina Abstrata de Warren e Implementações"
10.22456/2175-2745.36801,Seleção de Transformações Baseada em Estatística
10.22456/2175-2745.36851,Teste de Linha de Produto de Software Baseado em Mutação de Variabilidades
10.22456/2175-2745.37349,Analysis of Using Metric Access Methods for Visual Search of Objects in Video Databases
10.22456/2175-2745.37768,Filtragem Wavelet de Sinais Cardíacos através de Algoritmos Adaptativos
10.22456/2175-2745.37870,Uma Estratégia Baseada em Difusão de Informação para Determinação de Conteúdos Relevantes e Usuários Influentes em Redes Sociais
10.22456/2175-2745.39702,Support Vector Machines and Kernel Functions for Text Processing
